learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
7600.0,11.448067,1.2876597418375312E-5,1000.0,23.198444520635743,28.206288421329507,7600.0,3119496.0,3.0
7700.0,11.557213,1.2968302780687807E-5,1000.0,21.68018409577443,26.174522778229882,7700.0,3247800.0,3.0
7800.0,11.670553,1.3067366477400063E-5,1000.0,23.43795873214537,27.83240724135375,7800.0,3378576.0,3.0
7900.0,11.795101,1.3180392932295797E-5,1000.0,22.682747817160227,27.211918249641375,7900.0,3507888.0,3.0
8000.0,11.922255,1.3300055379122493E-5,1000.0,23.788790469245146,28.42528734480627,8000.0,3637728.0,3.0
8100.0,12.056924,1.3431290979230152E-5,1000.0,23.295148268879288,28.016544962676743,8100.0,3766920.0,3.0
8200.0,12.187492,1.3562671862288065E-5,1000.0,24.39456162524932,29.205977571438982,8200.0,3889536.0,3.0
8300.0,12.323567,1.3703909599899002E-5,1000.0,23.333621960887175,28.03219220334384,8300.0,4012128.0,3.0
8400.0,12.455649,1.3845220476941514E-5,1000.0,23.38385244605076,28.145558667072343,8400.0,4135560.0,3.0
8500.0,12.600105,1.4004348633245874E-5,1000.0,24.2810018524597,29.036419785731567,8500.0,4258080.0,3.0
8600.0,12.742411,1.4165626018662004E-5,1000.0,23.859104674850876,28.72469785175978,8600.0,4380792.0,3.0
8700.0,12.886229,1.4333145964872091E-5,1000.0,24.761962422993662,29.728886664351442,8700.0,4502520.0,3.0
8800.0,13.03977,1.4516841742582618E-5,1000.0,24.05204938242753,29.06165141770667,8800.0,4624632.0,3.0
8900.0,13.201513,1.4715759154452631E-5,1000.0,25.499009862466348,30.560304195596185,8900.0,4753896.0,3.0
9000.0,13.354416,1.4908905653674154E-5,1000.0,24.33356952939046,29.39738535238508,9000.0,4882848.0,3.0
9100.0,13.515687,1.5117960521057246E-5,1000.0,25.846016128784473,30.92712603807036,9100.0,5010792.0,3.0
9200.0,13.677934,1.5333589370343833E-5,1000.0,24.953971471962777,30.041694834042755,9200.0,5137272.0,3.0
9300.0,13.843106,1.5558622903643795E-5,1000.0,26.15703071199539,31.328035145176436,9300.0,5266392.0,3.0
9400.0,14.01537,1.5799134958951423E-5,1000.0,26.29699779298559,31.577647189810126,9400.0,5396904.0,3.0
9500.0,14.194647,1.6055483680969725E-5,1000.0,26.997130598111415,33.06934447903378,9500.0,5527248.0,3.0
9600.0,14.364989,1.6304791705502817E-5,1000.0,28.387024828580348,34.9698067969911,9600.0,5657400.0,3.0
9700.0,14.547093,1.6577529466145983E-5,1000.0,28.064706506047955,34.64739408362623,9700.0,5789328.0,3.0
9800.0,14.74591,1.688195185712849E-5,1000.0,28.84667573958377,35.41664137838669,9800.0,5918688.0,3.0
9900.0,14.956949,1.7211810045571376E-5,1000.0,28.940630403199485,35.697996266500716,9900.0,6041808.0,3.0
9997.0,15.172181,1.7554892967076352E-5,1000.0,29.463059492647425,36.27452568203057,9997.0,6161616.0,3.0
