vhod1-3,vhod1-2,vhod1-1,vhod2-3,vhod2-2,vhod2-1,izhod-3,izhod-2,izhod-1,izhod
0.03940194775,0.03508182983,0.03076589569,0.5282467547,0.5052583332,0.4813969014,52.24091919,53.41561855,54.5313807,55.58647219
0.03508182983,0.03076589569,0.0264542671,0.5052583332,0.4813969014,0.4567605615,53.41561855,54.5313807,55.58647219,56.57935612
0.03076589569,0.0264542671,0.0221470656,0.4813969014,0.4567605615,0.4314486721,54.5313807,55.58647219,56.57935612,57.50869466
0.0264542671,0.0221470656,0.0178444125,0.4567605615,0.4314486721,0.4055614744,55.58647219,56.57935612,57.50869466,58.37335084
0.0221470656,0.0178444125,0.01354642884,0.4314486721,0.4055614744,0.379199716,56.57935612,57.50869466,58.37335084,59.17238956
0.0178444125,0.01354642884,0.009253235424,0.4055614744,0.379199716,0.352464277,57.50869466,58.37335084,59.17238956,59.90507782
0.01354642884,0.009253235424,0.004964952777,0.379199716,0.352464277,0.3254557965,58.37335084,59.17238956,59.90507782,60.57088427
0.009253235424,0.004964952777,0.0006817011816,0.352464277,0.3254557965,0.298274304,59.17238956,59.90507782,60.57088427,61.16947798
0.004964952777,0.0006817011816,-0.003596399351,0.3254557965,0.298274304,0.2710188546,59.90507782,60.57088427,61.16947798,61.7007265
0.0006817011816,-0.003596399351,-0.007869229075,0.298274304,0.2710188546,0.2437871705,60.57088427,61.16947798,61.7007265,62.16469315
-0.003596399351,-0.007869229075,-0.01213666852,0.2710188546,0.2437871705,0.21667529,61.16947798,61.7007265,62.16469315,62.56163372
-0.007869229075,-0.01213666852,-0.01639859849,0.2437871705,0.21667529,0.189777225,61.7007265,62.16469315,62.56163372,62.89199238
-0.01213666852,-0.01639859849,-0.02065490006,0.21667529,0.189777225,0.1631846281,62.16469315,62.56163372,62.89199238,63.15639693
-0.01639859849,-0.02065490006,-0.02490545461,0.189777225,0.1631846281,0.1369864716,62.56163372,62.89199238,63.15639693,63.35565351
-0.02065490006,-0.02490545461,-0.02915014379,0.1631846281,0.1369864716,0.1112687375,62.89199238,63.15639693,63.35565351,63.49074056
-0.02490545461,-0.02915014379,-0.03338884953,0.1369864716,0.1112687375,0.08611412131,63.15639693,63.35565351,63.49074056,63.56280225
-0.02915014379,-0.03338884953,-0.03762145409,0.1112687375,0.08611412131,0.06160175078,63.35565351,63.49074056,63.56280225,63.57314139
-0.03338884953,-0.03762145409,-0.04184783999,0.08611412131,0.06160175078,0.03780691882,63.49074056,63.56280225,63.57314139,63.52321171
-0.03762145409,-0.04184783999,-0.04606789007,0.06160175078,0.03780691882,0.01480083343,63.56280225,63.57314139,63.52321171,63.41460971
-0.04184783999,-0.04606789007,-0.05028148748,0.03780691882,0.01480083343,-0.00734961553,63.57314139,63.52321171,63.41460971,63.24906601
-0.04606789007,-0.05028148748,-0.05448851566,0.01480083343,-0.00734961553,-0.02858207161,63.52321171,63.41460971,63.24906601,63.02843632
-0.05028148748,-0.05448851566,-0.0586888584,-0.00734961553,-0.02858207161,-0.04883890842,63.41460971,63.24906601,63.02843632,62.75469193
-0.05448851566,-0.0586888584,-0.06288239975,-0.02858207161,-0.04883890842,-0.06806740697,63.24906601,63.02843632,62.75469193,62.42990992
